order_id,region,amount,status,order_date
ORD0128,West,260.15,cancelled,2024-11-20
ORD0009,North,50.91,completed,2024-02-12
ORD0018,North,319.31,cancelled,2024-09-24
ORD0131,West,492.05,cancelled,2024-10-28
ORD0050,South,34.14,completed,2024-02-02
ORD0187,Central,263.26,cancelled,2024-11-09
ORD0160,West,230.08,completed,2024-06-25
ORD0179,Central,343.71,cancelled,2024-02-26
ORD0061,South,428.70,completed,2024-02-02
ORD0062,South,272.59,completed,2024-01-03
ORD0054,South,404.71,completed,2024-04-04
ORD0101,East,400.94,completed,2024-03-14
ORD0144,West,140.93,completed,2024-02-23
ORD0038,North,271.99,completed,2024-09-01
ORD0107,East,436.30,completed,2024-04-01
ORD0020,North,113.71,completed,2024-06-27
ORD0094,East,42.25,cancelled,2024-12-05
ORD0115,East,26.97,completed,2024-07-01
ORD0182,Central,39.13,cancelled,2024-11-11
ORD0029,North,397.08,completed,2024-07-20
ORD0012,North,415.56,completed,2024-10-28
ORD0150,West,440.93,cancelled,2024-10-13
ORD0087,East,372.50,completed,2024-03-09
ORD0002,North,369.55,completed,2024-11-24
ORD0100,East,463.25,completed,2024-04-28
ORD0040,North,416.67,completed,2024-05-08
ORD0169,Central,123.08,cancelled,2024-08-22
ORD0031,North,278.85,completed,2024-01-22
ORD0176,Central,471.03,cancelled,2024-04-03
ORD0178,Central,55.44,cancelled,2024-05-28
ORD0004,North,113.23,cancelled,2024-09-20
ORD0186,Central,80.73,cancelled,2024-03-24
ORD0063,South,425.10,completed,2024-03-14
ORD0143,West,384.08,completed,2024-09-16
ORD0142,West,227.78,completed,2024-04-27
ORD0188,Central,309.88,cancelled,2024-09-25
ORD0017,North,137.15,completed,2024-11-21
ORD0071,South,427.10,completed,2024-03-02
ORD0035,North,252.79,completed,2024-03-17
ORD0172,Central,304.92,cancelled,2024-12-23
ORD0197,Central,143.43,cancelled,2024-10-23
ORD0098,East,128.52,completed,2024-02-12
ORD0057,South,53.72,completed,2024-07-24
ORD0173,Central,61.69,cancelled,2024-03-10
ORD0064,South,110.80,completed,2024-07-02
ORD0097,East,9.99,completed,2024-01-12
ORD0080,South,283.68,completed,2024-02-03
ORD0164,Central,375.77,cancelled,2024-01-12
ORD0067,South,366.60,completed,2024-09-22
ORD0025,North,127.08,completed,2024-09-18
ORD0162,Central,475.85,cancelled,2024-07-09
ORD0053,South,287.67,completed,2024-08-08
ORD0060,South,128.65,completed,2024-02-15
ORD0174,Central,58.51,cancelled,2024-01-10
ORD0147,West,110.91,completed,2024-07-14
ORD0137,West,128.35,cancelled,2024-02-15
ORD0001,North,17.38,completed,2024-05-08
ORD0136,West,479.19,completed,2024-09-15
ORD0066,South,393.64,completed,2024-05-14
ORD0191,Central,426.60,cancelled,2024-02-09
ORD0052,South,111.05,completed,2024-03-24
ORD0099,East,442.65,completed,2024-07-20
ORD0125,West,329.08,completed,2024-08-15
ORD0015,North,55.00,completed,2024-05-15
ORD0138,West,235.00,cancelled,2024-09-18
ORD0163,Central,418.28,cancelled,2024-08-01
ORD0081,East,10.00,completed,2024-03-12
ORD0023,North,160.77,completed,2024-11-16
ORD0117,East,369.83,completed,2024-04-12
ORD0010,North,303.84,completed,2024-01-24
ORD0103,East,402.11,completed,2024-12-26
ORD0181,Central,268.71,cancelled,2024-11-12
ORD0171,Central,351.24,cancelled,2024-06-06
ORD0106,East,459.63,completed,2024-06-10
ORD0085,East,409.47,cancelled,2024-05-22
ORD0042,South,408.93,completed,2024-09-25
ORD0027,North,498.68,completed,2024-03-17
ORD0165,Central,115.99,cancelled,2024-02-25
ORD0086,East,439.67,cancelled,2024-05-04
ORD0105,East,24.17,completed,2024-08-08
ORD0090,East,454.54,completed,2024-01-03
ORD0152,West,446.36,completed,2024-07-18
ORD0199,Central,260.73,cancelled,2024-04-03
ORD0126,West,110.78,completed,2024-08-26
ORD0112,East,491.86,completed,2024-01-04
ORD0047,South,450.31,completed,2024-08-04
ORD0072,South,44.66,completed,2024-03-03
ORD0114,East,258.15,completed,2024-07-19
ORD0133,West,349.70,completed,2024-08-13
ORD0121,West,279.43,completed,2024-04-14
ORD0045,South,378.86,completed,2024-12-07
ORD0167,Central,20.36,cancelled,2024-04-07
ORD0159,West,94.96,completed,2024-05-13
ORD0189,Central,244.33,cancelled,2024-07-27
ORD0006,North,114.12,completed,2024-10-09
ORD0198,Central,440.65,cancelled,2024-09-01
ORD0148,West,235.63,completed,2024-01-07
ORD0059,South,227.06,completed,2024-07-06
ORD0024,North,457.70,completed,2024-08-05
ORD0007,North,8.22,completed,2024-03-23
ORD0065,South,6.07,completed,2024-07-09
ORD0155,West,336.09,completed,2024-07-24
ORD0083,East,417.70,completed,2024-12-10
ORD0111,East,62.09,completed,2024-05-06
ORD0011,North,66.79,completed,2024-07-03
ORD0154,West,140.10,completed,2024-08-01
ORD0021,North,32.69,completed,2024-01-26
ORD0180,Central,492.00,cancelled,2024-01-12
ORD0127,West,399.03,completed,2024-03-22
ORD0139,West,475.27,completed,2024-08-20
ORD0129,West,410.12,completed,2024-04-22
ORD0070,South,33.30,completed,2024-10-16
ORD0104,East,83.80,completed,2024-12-04
ORD0078,South,324.52,cancelled,2024-08-11
ORD0177,Central,298.09,cancelled,2024-11-08
ORD0120,East,335.11,completed,2024-06-13
ORD0032,North,342.45,completed,2024-09-25
ORD0113,East,176.12,completed,2024-06-14
ORD0074,South,445.69,cancelled,2024-04-19
ORD0146,West,79.66,cancelled,2024-07-23
ORD0153,West,275.34,completed,2024-10-08
ORD0079,South,468.19,completed,2024-01-15
ORD0043,South,331.58,cancelled,2024-09-06
ORD0016,North,185.59,completed,2024-06-12
ORD0019,North,233.82,completed,2024-05-21
ORD0037,North,306.44,completed,2024-03-12
ORD0069,South,291.69,completed,2024-09-02
ORD0039,North,246.86,completed,2024-02-12
ORD0166,Central,478.86,cancelled,2024-01-25
ORD0058,South,431.53,completed,2024-04-07
ORD0140,West,10.00,completed,2024-07-27
ORD0030,North,193.90,cancelled,2024-08-17
ORD0109,East,387.80,cancelled,2024-06-21
ORD0051,South,40.07,completed,2024-04-09
ORD0170,Central,61.62,cancelled,2024-04-15
ORD0151,West,471.66,completed,2024-05-25
ORD0161,Central,440.42,cancelled,2024-05-25
ORD0068,South,81.62,completed,2024-05-07
